# Angstrom [air],  flux [abs.cor.cont.sub+1]
       6549.4677       1.0389293
       6549.4851       1.0373052
       6549.5025       1.0353024
       6549.5199       1.0331005
       6549.5373       1.0309056
       6549.5547       1.0288960
       6549.5721       1.0271779
       6549.5895       1.0257702
       6549.6070       1.0246245
       6549.6244       1.0236717
       6549.6418       1.0228766
       6549.6592       1.0222766
       6549.6766       1.0219872
       6549.6940       1.0221695
       6549.7114       1.0229717
       6549.7288       1.0244671
       6549.7462       1.0266149
       6549.7637       1.0292575
       6549.7811       1.0321556
       6549.7985       1.0350456
       6549.8159       1.0376952
       6549.8333       1.0399416
       6549.8507       1.0417039
       6549.8681       1.0429750
       6549.8855       1.0438024
       6549.9029       1.0442664
       6549.9204       1.0444572
       6549.9378       1.0444517
       6549.9552       1.0442912
       6549.9726       1.0439676
       6549.9900       1.0434244
       6550.0074       1.0425752
       6550.0248       1.0413377
       6550.0422       1.0396707
       6550.0596       1.0376031
       6550.0771       1.0352457
       6550.0945       1.0327790
       6550.1119       1.0304217
       6550.1293       1.0283850
       6550.1467       1.0268268
       6550.1641       1.0258192
       6550.1815       1.0253379
       6550.1989       1.0252769
       6550.2163       1.0254812
       6550.2338       1.0257861
       6550.2512       1.0260553
       6550.2686       1.0262084
       6550.2860       1.0262354
       6550.3034       1.0261943
       6550.3208       1.0261898
       6550.3382       1.0263357
       6550.3556       1.0267101
       6550.3730       1.0273171
       6550.3905       1.0280737
       6550.4079       1.0288295
       6550.4253       1.0294166
       6550.4427       1.0297101
       6550.4601       1.0296762
       6550.4775       1.0293857
       6550.4949       1.0289911
       6550.5123       1.0286769
       6550.5297       1.0286049
       6550.5472       1.0288747
       6550.5646       1.0295096
       6550.5820       1.0304690
       6550.5994       1.0316789
       6550.6168       1.0330663
       6550.6342       1.0345816
       6550.6516       1.0362075
       6550.6690       1.0379406
       6550.6864       1.0397625
       6550.7038       1.0416115
       6550.7213       1.0433724
       6550.7387       1.0448876
       6550.7561       1.0459888
       6550.7735       1.0465339
       6550.7909       1.0464388
       6550.8083       1.0456941
       6550.8257       1.0443679
       6550.8431       1.0425978
       6550.8605       1.0405796
       6550.8780       1.0385510
       6550.8954       1.0367692
       6550.9128       1.0354769
       6550.9302       1.0348585
       6550.9476       1.0349963
       6550.9650       1.0358448
       6550.9824       1.0372374
       6550.9998       1.0389305
       6551.0172       1.0406703
       6551.0347       1.0422591
       6551.0521       1.0435939
       6551.0695       1.0446663
       6551.0869       1.0455243
       6551.1043       1.0462190
       6551.1217       1.0467574
       6551.1391       1.0470851
       6551.1565       1.0471039
       6551.1739       1.0467202
       6551.1914       1.0459019
