bjd,rv,e_rv,pre_rv,pre_e_rv,sn18,exptime,berv,qprog,airmass,filename,dLW,e_dLW,crx,e_crx,ln_order_center,irt_ind1,irt_ind1_e,irt_ind2,irt_ind2_e,irt_ind3,irt_ind3_e
2458234.7725353176,62.524931278010854,61.241543220075506,-324.34229588611726,29.600865905129922,113.07208251953125,628.35,7.760703961858095,UNKNOWN,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180426/0034/Slope-20180426T062131_R01.optimal.fits,1967.8009907843646,460.50549631543106,229.40043490288082,851.6006925555129,[,0.6612819151177927,0.0033881666898740383,0.4191790424891828,0.003082323203139957,0.4606556782756696,0.0029056905905096133
2458234.780415522,81.92502458926258,56.14461762383626,-224.05441056033416,28.293850385471547,122.76261901855469,617.7,7.7470585398180125,UNKNOWN,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180426/0035/Slope-20180426T063302_R01.optimal.fits,1793.102933156609,419.7658709887168,-422.3683206943408,845.3732699278181,9,0.6554262697775519,0.003071584205180927,0.4117531239298757,0.002798721933186211,0.4568055298249725,0.0026691803969858593
2458234.78848573,114.03729799967442,57.86709627281766,-170.23444805073723,29.299887572654136,120.2076416015625,628.35,7.732519680662046,UNKNOWN,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180426/0036/Slope-20180426T064446_R01.optimal.fits,2453.494201349619,429.16732282531467,-811.8277091311345,736.5941413486075,.,0.6538970034953533,0.003170721934767254,0.41419476349273854,0.0029403611298512117,0.45103318576633117,0.002743934227888403
2458236.776143954,-197.8357397298686,63.055621723952704,-90.64008876433066,28.333814739187467,108.13406372070312,639.0,7.252383712843909,UNKNOWN,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180428/0069/Slope-20180428T062654_R01.optimal.fits,308.8771438451558,476.0595632015886,-916.7525214624322,918.2582702965163,0,0.6567938829701278,0.0034130245683645696,0.41166568571244966,0.0030869077047727023,0.4414491370027331,0.002898544924946335
2458236.784414154,-269.2790155012469,69.43944705936194,27.13698692337833,31.629765599130195,98.26285552978516,639.0,7.2373714557558095,UNKNOWN,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180428/0070/Slope-20180428T063838_R01.optimal.fits,350.7591319993771,526.4669557638755,1781.4687846181441,724.0482305664411,0,0.6549075516073881,0.003769063008805758,0.4083056311445323,0.003414639489545544,0.4472966674506103,0.003203637983863772
2458238.778299229,-190.20556458475454,73.14135768810243,-8.465924309303453,30.337529561121883,93.06626892089844,639.0,6.739670325049784,UNKNOWN,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180430/0059/Slope-20180430T062944_R01.optimal.fits,-1009.6438822885013,563.071203082438,1976.3971900193576,598.1614138723461,3,0.6504612596817289,0.004285794549723942,0.39782656570830044,0.003948314465862226,0.438643434214942,0.003680751113771232
2458238.786279408,-121.33114438225337,77.52429445034171,-187.8495238614555,30.312131440189518,87.95144653320312,628.35,6.724672094556727,UNKNOWN,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180430/0060/Slope-20180430T064125_R01.optimal.fits,7.629667449039797,590.1344712447236,442.44192258317906,1015.7224664545836,8,0.6533629941794732,0.004599773926384689,0.4101765844051721,0.004347707458679054,0.4429752614513492,0.004018337222767429
2458266.931833014,62.25869986709007,47.908933285617444,-393.2584226059139,26.067040122559455,129.43661499023438,958.5,-1.2182907151774232,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180528/0052/Slope-20180528T100801_R01.optimal.fits,-827.0961206909018,377.5952570354145,338.41501907450225,436.2783364558819,3,0.6401467278500311,0.002969254570874313,0.39564702853629646,0.0026667664905597683,0.44497158579755464,0.0025565575448902146
2458266.9434029665,46.588530246788004,55.24276664129158,-373.6301980724886,28.471842620179434,111.32620239257812,969.15,-1.2380768048622681,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180528/0053/Slope-20180528T102448_R01.optimal.fits,-160.27666845687193,436.3875995705423,253.47333100950812,498.51496315606636,8,0.6461294238395187,0.0034699277766710762,0.40027074855613043,0.00314978686375336,0.4425507832492813,0.0029693939475215815
2458267.686750246,120.28099283152835,51.38429098337535,-434.7117199951178,25.79461877411253,119.98011779785156,958.5,-0.9690873240740301,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180529/0009/Slope-20180529T041429_R01.optimal.fits,-504.7033114187273,408.935397738275,-26.518056190448014,500.48843276274476,8,0.6377267084562144,0.003192886268021312,0.39496704538476995,0.002906755225099122,0.4376819628973489,0.002737337469048306
2458267.69791021,156.0320071924132,48.04063734828051,-199.3964403511191,24.08865390871676,127.03475952148438,947.85,-0.9892293617485123,ENG18-2-003,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20180529/0010/Slope-20180529T043115_R01.optimal.fits,-568.2526391643776,380.9211096517454,102.44657590235173,354.1050680129688,1,0.6419997550929603,0.0029966121341684876,0.39604563714992164,0.0027170326375177347,0.4375792160590411,0.002569676854695676
